Ball's radius: 1m
Start condition z0: 6m
Start condition v0: 2m/s

Time:	z(t):	v_z(t):	E(t)	Energy error:
0	3.095	-7.81	127465	1.45519e-11
1	-3.16293	-2.92685	73956.4	53508.5
2	-1.18478	6.88315	73956.4	53508.5
3	4.06336	0.440651	83689.3	43775.6
4	-0.400985	-6.80364	62820.7	64644.2
5	-3.00392	2.30207	67268.2	60196.7
6	1.27383	2.98343	35493.1	91971.8
7	0.244593	-2.0405	14355.5	113109
8	0.771987	2.04819	20423.1	107042
9	0.754209	1.06844	16901.5	110563
10	0.319808	1.19673	11820.4	115644
11	-0.33341	-0.11058	13457.5	114007
12	-0.287927	-2.22084	18036.4	109428
13	0.6755	1.82607	17840.3	109625
14	0.619538	1.10169	14741.1	112724
15	0.319207	1.25767	11973.6	115491
16	-0.356133	-0.21708	13791.4	113673
17	-0.213607	-1.96936	16074	111391
18	0.946351	2.13837	24234.5	103230
19	0.804353	0.840701	17374.3	110091
20	0.0978078	0.928455	10825.1	116640
0	5.77375	-2.905	127465	0
0.5	3.095	-7.81	127465	1.45519e-11
1	-1.92175	-10.622	157637	30171.9
1.5	-6.00651	-5.71702	157637	30171.9
2	-7.63877	-0.812015	157637	30171.9
2.5	-6.81853	4.09298	157637	30171.9
3	-3.54578	8.99798	157637	30171.9
3.5	2.12441	12.0478	195648	68183.2
4	6.92205	7.14279	195648	68183.2
4.5	9.2672	2.23779	195648	68183.2
5	9.15985	-2.66721	195648	68183.2
5.5	6.59999	-7.57221	195648	68183.2
6	1.58764	-12.4772	195648	68183.2
6.5	-4.24222	-9.20721	175934	48469.6
7	-7.61957	-4.30221	175934	48469.6
7.5	-8.54443	0.60279	175934	48469.6
8	-7.01678	5.50779	175934	48469.6
8.5	-3.03664	10.4128	175934	48469.6
9	2.71863	10.9733	181954	54488.8
9.5	6.97904	6.0683	181954	54488.8
10	8.78694	1.1633	181954	54488.8
10.5	8.14234	-3.7417	181954	54488.8
11	5.04524	-8.6467	181954	54488.8
11.5	-0.504363	-12.1682	170845	43379.8
12	-5.48793	-7.51464	171890	44425.2
12.5	-8.019	-2.60964	171890	44425.2
13	-8.09757	2.29536	171890	44425.2
13.5	-5.72363	7.20036	171890	44425.2
14	-0.8972	12.0929	173387	45921.8
14.5	4.73422	8.81034	178555	51090
15	7.91314	3.90534	178555	51090
15.5	8.63955	-0.999664	178555	51090
16	6.91347	-5.90466	178555	51090
16.5	2.73489	-10.8097	178555	51090
17	-2.78259	-9.62527	154190	26724.8
17.5	-6.36898	-4.72027	154190	26724.8
18	-7.50286	0.184731	154190	26724.8
18.5	-6.18425	5.08973	154190	26724.8
19	-2.41313	9.99473	154190	26724.8
19.5	2.58199	8.35074	126076	1389.18
20	5.53111	3.44574	126076	1389.18
0	6.19344	-0.4525	127465	0
0.25	5.77375	-2.905	127465	0
0.5	4.74094	-5.3575	127465	1.45519e-11
0.75	3.095	-7.81	127465	0
1	0.835937	-10.2469	127194	270.735
1.25	-1.6802	-9.08029	120865	6600.26
1.5	-3.64371	-6.62779	120865	6600.26
1.75	-4.9941	-4.17529	120865	6600.26
2	-5.73136	-1.72279	120865	6600.26
2.25	-5.85549	0.729707	120865	6600.26
2.5	-5.3665	3.18221	120865	6600.26
2.75	-4.26439	5.63471	120865	6600.26
3	-2.54915	8.08721	120865	6600.26
3.25	-0.220784	10.2641	122415	5049.5
3.5	2.17416	8.35354	117746	9719.23
3.75	3.95599	5.90104	117746	9719.23
4	5.12469	3.44854	117746	9719.23
4.25	5.68026	0.996045	117746	9719.23
4.5	5.62271	-1.45646	117746	9719.23
4.75	4.95203	-3.90896	117746	9719.23
5	3.66823	-6.36146	117746	9719.23
5.25	1.77131	-8.81396	117746	9719.23
5.5	-0.69377	-10.1407	126035	1429.7
5.75	-2.93528	-7.73981	123040	4424.46
6	-4.56367	-5.28731	123040	4424.46
6.25	-5.57894	-2.83481	123040	4424.46
6.5	-5.98108	-0.38231	123040	4424.46
6.75	-5.7701	2.07019	123040	4424.46
7	-4.94599	4.52269	123040	4424.46
7.25	-3.50875	6.97519	123040	4424.46
7.5	-1.45839	9.42769	123040	4424.46
7.75	1.06182	9.91646	124793	2671.44
8	3.23437	7.46396	124793	2671.44
8.25	4.79379	5.01146	124793	2671.44
8.5	5.7401	2.55896	124793	2671.44
8.75	6.07327	0.106458	124793	2671.44
9	5.79333	-2.34604	124793	2671.44
9.25	4.90025	-4.79854	124793	2671.44
9.5	3.39405	-7.25104	124793	2671.44
9.75	1.27473	-9.70354	124793	2671.44
10	-1.24882	-9.66733	123527	3938.38
10.25	-3.35909	-7.21483	123527	3938.38
10.5	-4.85623	-4.76233	123527	3938.38
10.75	-5.74025	-2.30983	123527	3938.38
11	-6.01115	0.142665	123527	3938.38
11.25	-5.66892	2.59517	123527	3938.38
